[2026/08/24 22:12:21] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:24] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:12:27] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:12:29] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:32] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:35] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:37] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:40] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:43] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:12:45] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:48] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:50] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:53] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:56] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:58] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:13:01] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:04] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:06] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:09] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:12] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:14] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:13:17] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:20] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:22] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:25] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:28] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:30] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:13:33] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:36] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:38] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:41] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:44] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:46] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:13:49] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:13:51] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:54] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:57] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:13:59] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:02] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:14:05] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:14:07] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:10] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:13] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:15] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:18] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:14:20] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:14:23] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:26] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:28] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:31] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:34] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:14:36] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:14:39] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:42] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:44] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:47] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:50] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:14:52] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:14:55] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:14:58] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:00] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:03] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:06] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:08] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:15:11] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:13] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:16] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:19] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:21] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:24] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:15:27] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:29] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:32] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:35] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:37] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:40] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:15:43] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:45] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:48] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:51] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:53] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:15:56] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:15:59] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:01] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:04] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:07] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:09] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:12] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:16:15] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:16:17] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:20] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:22] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:25] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:28] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:16:30] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:16:33] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:36] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:38] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:41] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:44] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:16:46] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:16:49] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:51] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:54] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:57] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:16:59] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:17:02] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:17:05] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:07] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:10] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:13] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:15] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:18] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:17:21] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:23] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:26] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:29] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:31] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:34] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:17:37] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:39] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:42] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:45] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:47] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:50] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:17:53] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:55] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:17:58] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:01] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:03] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:06] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:18:09] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:11] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:14] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:16] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:19] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:22] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:18:24] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:27] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:30] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:32] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:35] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:38] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:18:40] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:43] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:46] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:48] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:51] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:18:54] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:18:56] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:18:59] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:02] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:04] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:07] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:10] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:19:12] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:19:15] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:18] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:20] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:23] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:26] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:19:28] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:19:31] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:34] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:19:36] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
