[2026/08/31 13:07:17] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:07:20] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:07:23] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:07:25] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:28] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:31] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:33] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:36] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:38] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:41] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:43] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:46] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:49] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:51] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:54] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:57] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:07:59] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:08:02] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:08:04] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:07] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:10] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:12] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:15] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:17] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:20] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:23] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:25] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:28] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:30] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:33] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:36] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:38] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:41] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:43] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:46] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:49] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:51] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:54] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:56] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:08:59] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:01] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:04] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:07] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:09] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:12] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:15] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:17] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:20] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:22] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:25] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:27] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:30] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/31 13:09:33] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
