[2026/09/01 21:26:50] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:26:52] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:26:55] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:26:58] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:27:00] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:27:03] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:27:06] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:27:09] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:28:04] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:06] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:09] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:12] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:14] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:17] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:20] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:22] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:25] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:28] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:28:30] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:28:33] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:28:36] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:28:39] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:28:41] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:28:44] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:28:47] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:28:49] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:28:52] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:55] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:28:57] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:00] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:03] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:06] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:08] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:11] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:14] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:16] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:19] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:22] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:24] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:27] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:30] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:32] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:35] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:38] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:40] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:43] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:46] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:48] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:51] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:54] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:57] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:29:59] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:30:02] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:30:05] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:30:08] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:30:10] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:30:13] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:30:16] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:30:18] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:30:21] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:30:24] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:27] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:29] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:32] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:35] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:37] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:40] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:42] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:45] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:48] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:50] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:53] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:56] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:30:58] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:31:01] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:31:04] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:31:06] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:31:09] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:31:11] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:31:14] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 23:59:39] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:53] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:56] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:59] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:14] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:17] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:20] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:22] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:25] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:28] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:31] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:33] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:36] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:39] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:41] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:44] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:46] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:49] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:52] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:54] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:57] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:54] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 23:59:57] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 23:59:59] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 23:59:04] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:07] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:10] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:12] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:15] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:18] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:20] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:23] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:26] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:28] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:31] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:34] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:36] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:39] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:42] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:44] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:47] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:50] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:52] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:55] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:58] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 23:59:50] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 23:59:53] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 23:59:56] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 23:59:58] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/01 21:56:46] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:56:49] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/09/01 21:56:51] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
